"time_period","time_identifier","geographic_level","country_code","country_name","version","characteristic_type","characteristic_value","subjects","KS2_Prior","num_U","num_1","num_2","num_3","num_4","num_5","num_6","num_7","num_8","num_9","num_X","num_covid_impacted","all_grades","perc_1","perc_2","perc_3","perc_4","perc_5","perc_6","perc_7","perc_8","perc_9","perc_U","perc_X","per_covid_impacted"
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biology","Less than 80",4,34,34,16,10,7,5,5,0,0,2,3,120,28.3,28.3,13.3,8.3,5.8,4.2,4.2,0,0,3.3,1.7,2.5
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biology","80 - 89.5",9,99,180,94,22,15,7,1,1,1,27,12,468,21.2,38.5,20.1,4.7,3.2,1.5,0.2,0.2,0.2,1.9,5.8,2.6
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biology","90 - 95.5",27,74,303,327,152,114,38,16,12,4,28,31,1126,6.6,26.9,29,13.5,10.1,3.4,1.4,1.1,0.4,2.4,2.5,2.8
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biology","96 - 99.5",30,61,230,604,473,410,189,106,40,17,32,22,2214,2.8,10.4,27.3,21.4,18.5,8.5,4.8,1.8,0.8,1.4,1.4,1
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biology","100 - 102",34,32,118,511,714,844,524,263,120,33,23,20,3236,1,3.6,15.8,22.1,26.1,16.2,8.1,3.7,1,1.1,0.7,0.6
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biology","102.5 - 104.5",46,25,111,565,1128,1731,1303,723,423,139,31,42,6267,0.4,1.8,9,18,27.6,20.8,11.5,6.7,2.2,0.7,0.5,0.7
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biology","105 - 107",43,28,78,498,1180,2478,2525,1736,1032,409,30,54,10091,0.3,0.8,4.9,11.7,24.6,25,17.2,10.2,4.1,0.4,0.3,0.5
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biology","107.5 - 109.5",45,6,35,234,906,2393,3319,2711,1868,1053,19,35,12624,0,0.3,1.9,7.2,19,26.3,21.5,14.8,8.3,0.4,0.2,0.3
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biology","110 - 113",11,4,25,140,624,2019,4000,4289,4013,3028,29,39,18221,0,0.1,0.8,3.4,11.1,22,23.5,22,16.6,0.1,0.2,0.2
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biology","113.5 - 116.5",5,1,1,20,127,636,1680,2624,3425,4523,13,18,13073,0,0,0.2,1,4.9,12.9,20.1,26.2,34.6,0,0.1,0.1
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biology","117 - 120",0,0,0,1,11,81,309,627,1175,3132,9,4,5349,0,0,0,0.2,1.5,5.8,11.7,22,58.6,0,0.2,0.1
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Business","Less than 80",8,19,13,17,8,11,6,2,0,0,1,1,86,22.1,15.1,19.8,9.3,12.8,7,2.3,0,0,9.3,1.2,1.2
